KOD10;NEV
C0603;Pofanyálkahártya rosszindulatú daganata III. stádium
C0604;Pofanyálkahártya rosszindulatú daganata IV. stádium
C0611;Szájtornác rosszindulatú daganata I. stádium
C0612;Szájtornác rosszindulatú daganata II. stádium
C0613;Szájtornác rosszindulatú daganata III. stádium
C0614;Szájtornác rosszindulatú daganata IV. stádium
C0621;Õrlõfogak mögötti terület rosszindulatú daganata I. stádium
C0622;Õrlõfogak mögötti terület rosszindulatú daganata II. stádium
C0623;Õrlõfogak mögötti terület rosszindulatú daganata III. stádium
C0624;Õrlõfogak mögötti terület rosszindulatú daganata IV. stádium
C0681;A szájüreg egyéb és k.m.n. részének átfedõ rossz. dag. I. stádium
C0682;A szájüreg egyéb és k.m.n. részének átfedõ rossz. dag. II. stádium
C0683;A szájüreg egyéb és k.m.n. részének átfedõ rossz. dag. III. stádium
C0684;A szájüreg egyéb és k.m.n. részének átfedõ rossz. dag. IV. stádium
C0691;Száj rosszindulatú daganata, k.m.n. I. stádium
C0692;Száj rosszindulatú daganata, k.m.n. II. stádium
C0693;Száj rosszindulatú daganata, k.m.n. III. stádium
C0694;Száj rosszindulatú daganata, k.m.n. IV. stádium
C0701;A parotis rosszindulatú daganata I. stádium
C0702;A parotis rosszindulatú daganata II. stádium
C0703;A parotis rosszindulatú daganata III. stádium
C0704;A parotis rosszindulatú daganata IV. stádium
C0801;Submandibularis nyálmirigy rosszindulatú daganata I. stádium
C0802;Submandibularis nyálmirigy rosszindulatú daganata II. stádium
C0803;Submandibularis nyálmirigy rosszindulatú daganata III. stádium
C0804;Submandibularis nyálmirigy rosszindulatú daganata IV. stádium
C0811;Nyelv alatti nyálmirigy rosszindulatú daganata I. stádium
C0812;Nyelv alatti nyálmirigy rosszindulatú daganata II. stádium
C0813;Nyelv alatti nyálmirigy rosszindulatú daganata III. stádium
C0814;Nyelv alatti nyálmirigy rosszindulatú daganata IV. stádium
C0881;A nagyobb nyálmirigyek átfedõ elváltozása, rossz. dag. I. stádium
C0882;A nagyobb nyálmirigyek átfedõ elváltozása, rossz. dag. II. stádium
C0883;A nagyobb nyálmirigyek átfedõ elváltozása, rossz. dag. III. stádium
C0884;A nagyobb nyálmirigyek átfedõ elváltozása, rossz. dag. IV. stádium
C0891;Nagy nyálmirigy rosszindulatú daganata, k.m.n. I. stádium
C0892;Nagy nyálmirigy rosszindulatú daganata, k.m.n. II. stádium
C0893;Nagy nyálmirigy rosszindulatú daganata, k.m.n. III. stádium
C0894;Nagy nyálmirigy rosszindulatú daganata, k.m.n. IV. stádium
C0901;Mandula árok rosszindulatú daganata I. stádium
C0902;Mandula árok rosszindulatú daganata II. stádium
C0903;Mandula árok rosszindulatú daganata III. stádium
C0904;Mandula árok rosszindulatú daganata IV. stádium
C0911;Mandulaív (mellsõ ill. hátsó) rosszindulatú daganata I. stádium
C0912;Mandulaív (mellsõ ill. hátsó) rosszindulatú daganata II. stádium
C0913;Mandulaív (mellsõ ill. hátsó) rosszindulatú daganata III. stádium
C0914;Mandulaív (mellsõ ill. hátsó) rosszindulatú daganata IV. stádium
C0981;A mandula átfedõ elváltozása, rosszindulatú daganata I. stádium
C0982;A mandula átfedõ elváltozása, rosszindulatú daganata II. stádium
C0983;A mandula átfedõ elváltozása, rosszindulatú daganata III. stádium
C0984;A mandula átfedõ elváltozása, rosszindulatú daganata IV. stádium
C0991;Mandula rosszindulatú daganata, k.m.n. I. stádium
C0992;Mandula rosszindulatú daganata, k.m.n. II. stádium
C0993;Mandula rosszindulatú daganata, k.m.n. III. stádium
C0994;Mandula rosszindulatú daganata, k.m.n. IV. stádium
C1001;Vallecula rosszindulatú daganata I. stádium
C1002;Vallecula rosszindulatú daganata II. stádium
C1003;Vallecula rosszindulatú daganata III. stádium
C1004;Vallecula rosszindulatú daganata IV. stádium
C1011;A gégefedõ mellsõ felszínének rosszindulatú daganata I. stádium
C1012;A gégefedõ mellsõ felszínének rosszindulatú daganata II. stádium
C1013;A gégefedõ mellsõ felszínének rosszindulatú daganata III. stádium
C1014;A gégefedõ mellsõ felszínének rosszindulatú daganata IV. stádium
C1021;A szájgarat oldalsó falának rosszindulatú daganata I. stádium
C1022;A szájgarat oldalsó falának rosszindulatú daganata II. stádium
C1023;A szájgarat oldalsó falának rosszindulatú daganata III. stádium
C1024;A szájgarat oldalsó falának rosszindulatú daganata IV. stádium
C1031;A szájgarat hátsó falának rosszindulatú daganata I. stádium
C1032;A szájgarat hátsó falának rosszindulatú daganata II. stádium
C1033;A szájgarat hátsó falának rosszindulatú daganata III. stádium
C1034;A szájgarat hátsó falának rosszindulatú daganata IV. stádium
C1041;Kopoltyúív (branchiogen) hasadék rosszindulatú daganata I. stádium
C1042;Kopoltyúív (branchiogen) hasadék rosszindulatú daganata II. stádium
C1043;Kopoltyúív (branchiogen) hasadék rosszindulatú daganata III. stádium
C1044;Kopoltyúív (branchiogen) hasadék rosszindulatú daganata IV. stádium
C1081;A szájgarat átfedõ elváltozása, rosszindulatú daganata I. stádium
C1082;A szájgarat átfedõ elváltozása, rosszindulatú daganata II. stádium
C1083;A szájgarat átfedõ elváltozása, rosszindulatú daganata III. stádium
C1084;A szájgarat átfedõ elváltozása, rosszindulatú daganata IV. stádium
C1091;Szájgarat rosszindulatú daganata, k.m.n. I. stádium
C1092;Szájgarat rosszindulatú daganata, k.m.n. II. stádium
C1093;Szájgarat rosszindulatú daganata, k.m.n. III. stádium
C1094;Szájgarat rosszindulatú daganata, k.m.n. IV. stádium
C1101;Az orrgarat felsõ falának rosszindulatú daganata I. stádium
C1102;Az orrgarat felsõ falának rosszindulatú daganata II. stádium
C1103;Az orrgarat felsõ falának rosszindulatú daganata III. stádium
C1104;Az orrgarat felsõ falának rosszindulatú daganata IV. stádium
C1111;Az orrgarat hátsó falának rosszindulatú daganata I. stádium
C1112;Az orrgarat hátsó falának rosszindulatú daganata II. stádium
C1113;Az orrgarat hátsó falának rosszindulatú daganata III. stádium
C1114;Az orrgarat hátsó falának rosszindulatú daganata IV. stádium
C1121;Az orrgarat oldalfalának rosszindulatú daganata I. stádium
C1122;Az orrgarat oldalfalának rosszindulatú daganata II. stádium
C1123;Az orrgarat oldalfalának rosszindulatú daganata III. stádium
C1124;Az orrgarat oldalfalának rosszindulatú daganata IV. stádium
C1131;Az orrgarat mellsõ falának rosszindulatú daganata I. stádium
C1132;Az orrgarat mellsõ falának rosszindulatú daganata II. stádium
C1133;Az orrgarat mellsõ falának rosszindulatú daganata III. stádium
C1134;Az orrgarat mellsõ falának rosszindulatú daganata IV. stádium
C1181;Az orrgarat átfedõ elváltozása, rosszindulatú daganata I. stádium
C1182;Az orrgarat átfedõ elváltozása, rosszindulatú daganata II. stádium
C1183;Az orrgarat átfedõ elváltozása, rosszindulatú daganata III. stádium
C1184;Az orrgarat átfedõ elváltozása, rosszindulatú daganata IV. stádium
C1191;Orrgarat rosszindulatú daganata, k.m.n. I. stádium
C1192;Orrgarat rosszindulatú daganata, k.m.n. II. stádium
C1193;Orrgarat rosszindulatú daganata, k.m.n. III. stádium
C1194;Orrgarat rosszindulatú daganata, k.m.n. IV. stádium
C1201;A sinus pyriformis rosszindulatú daganata I. stádium
C1202;A sinus pyriformis rosszindulatú daganata II. stádium
C1203;A sinus pyriformis rosszindulatú daganata III. stádium
C1204;A sinus pyriformis rosszindulatú daganata IV. stádium
C1301;Gyûrûporc mögötti terület rosszindulatú daganata I. stádium
C1302;Gyûrûporc mögötti terület rosszindulatú daganata II. stádium
C1303;Gyûrûporc mögötti terület rosszindulatú daganata III. stádium
C1304;Gyûrûporc mögötti terület rosszindulatú daganata IV. stádium
C1311;Aryepiglotticus redõ hypopharynx felõli old. rosszind. dag. I. stád.
C1312;Aryepiglotticus redõ hypopharynx felõli old. rosszind. dag. II. stád.
C1313;Aryepiglotticus redõ hypopharynx felõli old. rosszind. dag. III. stád.
C1314;Aryepiglotticus redõ hypopharynx felõli old. rosszind. dag. IV. stád.
C1321;A hypopharynx hátsó falának rosszindulatú daganata I. stádium
C1322;A hypopharynx hátsó falának rosszindulatú daganata II. stádium
C1323;A hypopharynx hátsó falának rosszindulatú daganata III. stádium
C1324;A hypopharynx hátsó falának rosszindulatú daganata IV. stádium
C1381;A hypopharynx átfedõ elváltozása, rosszindulatú dag. I. stádium
C1382;A hypopharynx átfedõ elváltozása, rosszindulatú dag. II. stádium
C1383;A hypopharynx átfedõ elváltozása, rosszindulatú dag. III. stádium
C1384;A hypopharynx átfedõ elváltozása, rosszindulatú dag. IV. stádium
C1391;Hypopharynx rosszindulatú daganata, k.m.n. I. stádium
C1392;Hypopharynx rosszindulatú daganata, k.m.n. II. stádium
C1393;Hypopharynx rosszindulatú daganata, k.m.n. III. stádium
C1394;Hypopharynx rosszindulatú daganata, k.m.n. IV. stádium
C1401;Garat rosszindulatú daganata, k.m.n. I. stádium
C1402;Garat rosszindulatú daganata, k.m.n. II. stádium
C1403;Garat rosszindulatú daganata, k.m.n. III. stádium
C1404;Garat rosszindulatú daganata, k.m.n. IV. stádium
C1411;Laryngopharynx rosszindulatú daganata I. stádium
C1412;Laryngopharynx rosszindulatú daganata II. stádium
C1413;Laryngopharynx rosszindulatú daganata III. stádium
C1414;Laryngopharynx rosszindulatú daganata IV. stádium
C1421;Waldeyer-gyûrû rosszindulatú daganata I. stádium
C1422;Waldeyer-gyûrû rosszindulatú daganata II. stádium
C1423;Waldeyer-gyûrû rosszindulatú daganata III. stádium
C1424;Waldeyer-gyûrû rosszindulatú daganata IV. stádium
C1481;Az ajak, a szájüreg és a garat átfedõ elvált., rossz. dag. I.st.
C1482;Az ajak, a szájüreg és a garat átfedõ elvált., rossz. dag. II.st.
C1483;Az ajak, a szájüreg és a garat átfedõ elvált., rossz. dag. III.st.
C1484;Az ajak, a szájüreg és a garat átfedõ elvált., rossz. dag. IV.st.
C3001;Orrüreg rosszindulatú daganata I. stádium
C3002;Orrüreg rosszindulatú daganata II. stádium
C3003;Orrüreg rosszindulatú daganata III. stádium
C3004;Orrüreg rosszindulatú daganata IV. stádium
C3011;Középfül rosszindulatú daganata I. stádium
C3012;Középfül rosszindulatú daganata II. stádium
C3013;Középfül rosszindulatú daganata III. stádium
C3014;Középfül rosszindulatú daganata IV. stádium
C3101;Arcüreg rosszindulatú daganata I. stádium
C3102;Arcüreg rosszindulatú daganata II. stádium
C3103;Arcüreg rosszindulatú daganata III. stádium
C3104;Arcüreg rosszindulatú daganata IV. stádium
C3111;Rostacsonti üreg rosszindulatú daganata I. stádium
C3112;Rostacsonti üreg rosszindulatú daganata II. stádium
C3113;Rostacsonti üreg rosszindulatú daganata III. stádium
C3114;Rostacsonti üreg rosszindulatú daganata IV. stádium
C3121;Homloküreg rosszindulatú daganata I. stádium
C3122;Homloküreg rosszindulatú daganata II. stádium
C3123;Homloküreg rosszindulatú daganata III. stádium
C3124;Homloküreg rosszindulatú daganata IV. stádium
C3131;Ékcsonti üreg rosszindulatú daganata I. stádium
C3132;Ékcsonti üreg rosszindulatú daganata II. stádium
C3133;Ékcsonti üreg rosszindulatú daganata III. stádium
C3134;Ékcsonti üreg rosszindulatú daganata IV. stádium
C3181;A melléküregek átfedõ elváltozása, rosszind. dag. I. stádium
C3182;A melléküregek átfedõ elváltozása, rosszind. dag. II. stádium
C3183;A melléküregek átfedõ elváltozása, rosszind. dag. III. stádium
C3184;A melléküregek átfedõ elváltozása, rosszind. dag. IV. stádium
C3201;Glottis rosszindulatú daganata I. stádium
C3202;Glottis rosszindulatú daganata II. stádium
C3203;Glottis rosszindulatú daganata III.stádium
C3204;Glottis rosszindulatú daganata IV. stádium
C3211;Supraglotticus rész rosszindulatú daganata I. stádium
C3212;Supraglotticus rész rosszindulatú daganata II. stádium
C3213;Supraglotticus rész rosszindulatú daganata III. stádium
C3214;Supraglotticus rész rosszindulatú daganata IV. stádium
C3221;Subglotticus rész rosszindulatú daganata I. stádium
C3222;Subglotticus rész rosszindulatú daganata II. stádium
C3223;Subglotticus rész rosszindulatú daganata III. stádium
C3224;Subglotticus rész rosszindulatú daganata IV. stádium
C3231;Gégeporc rosszindulatú daganata I. stádium
C3232;Gégeporc rosszindulatú daganata II. stádium
C3233;Gégeporc rosszindulatú daganata III. stádium
C3234;Gégeporc rosszindulatú daganata IV. stádium
C3281;A gége átfedõ elváltozása, rosszindulatú daganata I. stádium
C3282;A gége átfedõ elváltozása, rosszindulatú daganata II. stádium
C3283;A gége átfedõ elváltozása, rosszindulatú daganata III. stádium
C3284;A gége átfedõ elváltozása, rosszindulatú daganata IV. stádium
C3291;Gége rosszindulatú daganata, k.m.n. I. stádium
C3292;Gége rosszindulatú daganata, k.m.n. II. stádium
C3293;Gége rosszindulatú daganata, k.m.n. III. stádium
C3294;Gége rosszindulatú daganata, k.m.n. IV. stádium
C7952;A gerincoszlop csontjainak másodlagos rosszind. daganata
O0311;Inkomplett spontán vetélés elhúzódó v.bõ vérzéssel korai(bet.12hétig)
O0312;Inkomplett spontán vetélés elhúzódó v.bõ vérzéssel középidõs
O0321;Inkomplett spontán vetélés emboliával korai (betölt. 12.hétig)
O0322;Inkomplett spontán vetélés emboliával középidõs
O0331;Inkomplett spontán vetélés egyéb és k.m.n. szöv. korai (bet.12. hétig)
O0332;Inkomplett spontán vetélés egyéb és k.m.n. szöv. középidõs
O0341;Inkomplett spontán vetélés szövõdmény nélkül korai (betölt. 12.hétig)
O0342;Inkomplett spontán vetélés szövõdmény nélkül középidõs
O0351;Komplett v. k.m.n. spon. vetélés ivarszervi-med.-i fert.-sel korai
O0352;Komplett v. k.m.n. spon. vetélés ivarszervi-med.-i fert.-sel középidõs
O0361;Komplett v. k.m.n. spon. vetélés elhúzódó v.igen bõ vérz. korai(12hét)
O0362;Komplett v. k.m.n. spon. vetélés elhúzódó v.igen bõ vérz. középidõs
O0371;Komplett v. k.m.n. spon. vetélés emboliával korai(betölt. 12 hétig)
O0372;Komplett v. k.m.n. spon. vetélés emboliával középidõs
O0381;Komplett v. k.m.n. spon. vetélés egyéb és k.m.n. szöv. korai(bet.12hét
O0382;Komplett v. k.m.n. spon. vetélés egyéb és k.m.n. szöv. középidõs
O0391;Komplett v. k.m.n. spon. vetélés szövõdmény nélkül korai (bet.12hétig)
O0392;Komplett v. k.m.n. spon. vetélés szövõdmény nélkül középidõs
O0401;Inkomplett mûvi vetélés ivarszervi és medencei fert.-sel korai(12.hét)
O0402;Inkomplett mûvi vetélés ivarszervi és medencei fert.-sel középidõs
O0411;Inkomplett mûvi vetélés elhúzódó vagy bõ vérzéssel korai (bet.12.hét)
O0412;Inkomplett mûvi vetélés elhúzódó vagy bõ vérzéssel középidõs
O0421;Inkomplett mûvi vetélés emboliával korai (betöltött 12. hét)
O0422;Inkomplett mûvi vetélés emboliával középidõs
O0431;Inkomplett mûvi vetélés egyéb és k.m.n. szövõd. korai (bet. 12.hét)
O0432;Inkomplett mûvi vetélés egyéb és k.m.n. szövõd. középidõs
O0441;Inkomplett mûvi vetélés szövõdmény nélkül korai (bet. 12.hét)
O0442;Inkomplett mûvi vetélés szövõdmény nélkül középidõs
O0451;Komplett v. k.m.n. mûvi vet. ivarszervi és medencei fert. korai(12hét)
O0452;Komplett v. k.m.n. mûvi vet. ivarszervi és medencei fert. középidõs
O0461;Komplett v. k.m.n. mûvi vet. elhúzódó v. igen bõ vérz. korai (12.hét)
O0462;Komplett v. k.m.n. mûvi vet. elhúzódó v. igen bõ vérz. középidõs
O0471;Komplett v. k.m.n. mûvi vet. emboliával korai (betöltött 12. hétig)
O0472;Komplett v. k.m.n. mûvi vet. emboliával középidõs
O0481;Komplett v. k.m.n. mûvi vet. egyéb és k.m.n. szöv. korai(bet.12.hét)
O0482;Komplett v. k.m.n. mûvi vet. egyéb és k.m.n. szöv. középidõs
O0491;Komplett v. k.m.n. mûvi vet. szövõdmény nélkül korai(bet. 12 hétig)
O0492;Komplett v. k.m.n. mûvi vet. szövõdmény nélkül középidõs
O0501;Inkomplett vet. egyéb okból, ivarszervi és medencei fert. korai(12hét)
O0502;Inkomplett vet. egyéb okból, ivarszervi és medencei fert. középidõs
O0511;Inkomplett vet. egyéb okból, elhúzódó vagy bõ vérz. korai (12 hétig)
O0512;Inkomplett vet. egyéb okból, elhúzódó vagy bõ vérz. középidõs
O0521;Inkomplett vet. egyéb okból, emboliával korai (betöltött 12.hétig)
O0522;Inkomplett vet. egyéb okból, emboliával középidõs
O0531;Inkomplett vet. egyéb okból, egyéb és k.m.n. szöv. korai (12.hétig)
O0532;Inkomplett vet. egyéb okból, egyéb és k.m.n. szöv. középidõs
O0541;Inkomplett vet. egyéb okból, szövõdmény nélkül korai (12.hétig)
O0542;Inkomplett vet. egyéb okból, szövõdmény nélkül középidõs
O0551;Komplett vet. egyéb okból, ivarszervi és medencei fert. korai(12.hét)
O0552;Komplett vet. egyéb okból, ivarszervi és medencei fert. középidõs
O0561;Komplett vet. egyéb okból, elhúzódó vagy igen bõ vérz. korai(12.hétig)
O0562;Komplett vet. egyéb okból, elhúzódó vagy igen bõ vérz. középidõs
O0571;Komplett vet. egyéb okból, emboliával korai (betöltöltött 12. hétig)
O0572;Komplett vet. egyéb okból, emboliával középidõs
O0581;Komplett vet. egyéb okból, egyéb és k.m.n. szöv. korai (bet.12.hétig)
O0582;Komplett vet. egyéb okból, egyéb és k.m.n. szöv. középidõs
O0591;Komplett vet. egyéb okból, szövõdmény nélkül korai (bet. 12. hétig)
O0592;Komplett vet. egyéb okból, szövõdmény nélkül középidõs
O0601;K.m.n. inkomplett vet. ivarszervi és medencei fert. korai (12.hétig)
O0602;K.m.n. inkomplett vet. ivarszervi és medencei fert. középidõs
O0611;K.m.n. inkomplett vet. elhúzódó vagy bõ vérz. korai (bet. 12. hétig)
O0612;K.m.n. inkomplett vet. elhúzódó vagy bõ vérz. középidõs
O0621;K.m.n. inkomplett vet. emboliával korai (betöltött 12. hétig)
O0622;K.m.n. inkomplett vet. emboliával középidõs
O0631;K.m.n. inkomplett vet. egyéb és k.m.n. szöv. korai (bet. 12.hétig)
O0632;K.m.n. inkomplett vet. egyéb és k.m.n. szöv. középidõs
O0641;K.m.n. inkomplett vet. szövõdmény nélkül korai (betöltött 12.hétig)
O0642;K.m.n. inkomplett vet. szövõdmény nélkül középidõs
O0651;K.m.n. komplett vet. ivarszervi és medencei fert. korai (bet.12.hétig)
O0652;K.m.n. komplett vet. ivarszervi és medencei fert. középidõs
O0661;K.m.n. komplett vet. elhúzódó vagy igen bõ vérz. korai (bet.12.hétig)
O0662;K.m.n. komplett vet. elhúzódó vagy igen bõ vérz. középidõs
O0671;K.m.n. komplett vet. emboliával korai (betöltött 12. hétig)
O0672;K.m.n. komplett vet. emboliával középidõs
O0681;K.m.n. komplett vet. egyéb és k.m.n. szövõd. korai (betölt. 12.hétig)
O0682;K.m.n. komplett vet. egyéb és k.m.n. szövõd. középidõs
O0691;K.m.n. komplett vet. szövõdmény nélkül korai (betöltött 12. hétig)
O0692;K.m.n. komplett vet. szövõdmény nélkül középidõs
O0701;Sikertelen terhességmegsz. kismedencei és genitalis fert. korai(12.hét
O0702;Sikertelen terhességmegsz. kismedencei és genitalis fert. középidõs
O0711;Sikertelen terhességmegsz. elhúzódó vagy erõs vérz. korai (12. hétig)
O0712;Sikertelen terhességmegsz. elhúzódó vagy erõs vérz. középidõs
O0721;Sikertelen terhességmegszakítás emboliával korai (bet. 12. hétig)
O0722;Sikertelen terhességmegszakítás emboliával középidõs
O0731;Sikertelen terhességmegsz. egyéb és k.m.n. szöv. korai (bet.12. hétig)
O0732;Sikertelen terhességmegsz. egyéb és k.m.n. szöv. középidõs
O0741;Sikertelen terhességmegszakítás szöv. nélkül korai (bet.12.hétig)
O0742;Sikertelen terhességmegszakítás szöv. nélkül középidõs
O0751;Sikertelenül megkís. egyéb és k.m.n. vet. genitalis fert. korai(12.hét
O0752;Sikertelenül megkís. egyéb és k.m.n. vet. genitalis fert. középidõs
O0761;Sikertelenül megkís. egyéb és k.m.n. vet. elhúzódó vérz. korai (12.hét
O0762;Sikertelenül megkís. egyéb és k.m.n. vet. elhúzódó vérz. középidõs
O0771;Sikertelenül megkís. egyéb és k.m.n. vet. emboliával korai(12.hétig)
O0772;Sikertelenül megkís. egyéb és k.m.n. vet. emboliával középidõs
O0781;Sikertelenül megkís. k.m.n. vetélés egyéb k.m.n. szöv. korai(12.hétig)
O0782;Sikertelenül megkís. k.m.n. vetélés egyéb k.m.n. szöv. középidõs
O0791;Sikertelen egyéb és k.m.n. vetélés szöv. nélkül korai (12. hétig)
O0792;Sikertelen egyéb és k.m.n. vetélés szöv. nélkül középidõs
O0801;Vetélés, méhen kívüli és üszögterh. utáni genitalis fert. korai(12.hét
O0802;Vetélés, méhen kívüli és üszögterh. utáni genitalis fert. középidõs
O0811;Vetélés, méhen kívüli és üszögterh. utáni elh. vérzés korai (12.hétig)
O0812;Vetélés, méhen kívüli és üszögterh. utáni elh. vérzés középidõs
O0821;Vetélést, méhen kívüli és üszögterh. követõ embolia korai (12.hétig)
O0822;Vetélést, méhen kívüli és üszögterh. követõ embolia középidõs
O0831;Vetélést, méhen kívüli és üszögterh. követõ shock korai (12.hétig)
O0832;Vetélést, méhen kívüli és üszögterh. követõ shock középidõs
O0841;Vetélést, méhen kívüli és üszögterh. követõ veseelégt. korai(12.hétig)
O0842;Vetélést, méhen kívüli és üszögterh. követõ veseelégt. középidõs
O0851;Vetélést, méhen kívüli és üszögterh. követõ anyagcserezav. korai
O0852;Vetélést, méhen kívüli és üszögterh. követõ anyagcserezav. középidõs
O0861;Kismed. szervek károsodása vet.,méhenkívüli, üszögterh. után korai
O0862;Kismed. szervek károsodása vet.,méhenkívüli, üszögterh. után középidõs
O0871;Vetélést, méhen kívüli és üszögterh. követõ vénás szöv. korai(12.hétig
O0872;Vetélést, méhen kívüli és üszögterh. követõ vénás szöv. középidõs
O0881;Vetélést, méhen kívüli és üszögterh. követõ egyéb szöv. korai(12.hétig
O0882;Vetélést, méhen kívüli és üszögterh. követõ egyéb szöv. középidõs
O0891;Vetélést, méhen kívüli és üszögterh. követõ szöv. k.m.n. korai(12.héti
O0892;Vetélést, méhen kívüli és üszögterh. követõ szöv. k.m.n. középidõs
O0301;Inkomplett spontán vet. ivarszervi és medencei fert. korai (12.hétig)
O0302;Inkomplett spontán vet. ivarszervi és medencei fert. középidõs
S0271;Koponyacsontok többszörös törései
S0272;Arccsontok többszörös törései
Z9881;Replantációs mûtét utáni egyéb meghatározott állapotok
Z4581;Izületi endoprotézis mûtétet követõ mozgásterápia
C3191;Melléküreg rosszindulatú daganata, k.m.n. I. stádium
C3192;Melléküreg rosszindulatú daganata, k.m.n. II. stádium
C3193;Melléküreg rosszindulatú daganata, k.m.n. III. stádium
C3194;Melléküreg rosszindulatú daganata, k.m.n. IV. stádium
D1820;Juvenilis angiofibroma
I6711;Artéria carotis interna nem rupturált aneurysmája
I6712;Artéria communicans anterior nem rupturált aneurismája
I6713;Artéria cerebri anterior nem rupturált aneurysmája
I6714;Artéria cerebri media nem rupturált aneurysmája
I6715;Artéria vertebráis és ágai nem rupturált aneurysmája
I6716;Arteréria beasiláris nem rupturált aneurismája
Q2821;Az agyi erek nem vérzett arteriovenosus rendellenessége - hemispheriális
Q2822;Az agyi erek nem vérzett arteriovenosus rendellenessége - axiális supratentoriális
Q2823;Az agyi erek nem vérzett arteriovenosus rendellenessége - infratentoriális
Q2824;A keményburok arteriovenosus fistulája
Q2882;A gerinc ereinek nem vérzett arteriovenosus rendellenessége - cervicalis
Q2883;A gerinc ereinek nem vérzett arteriovenosus rendellenessége - thoracalis
Q2884;A gerinc ereinek nem vérzett arteriovenosus rendellenessége - lumbosacralis
I6081;Agyi erek vérzett arteriovenosus rendellenessége - hemispheriális
I6082;Agyi erek vérzett arteriovenosus rendellenessége - axiális supratentoriális
I6083;Agyi erek vérzett arteriovenosus rendellenessége - infratentoriális
I6084;A gerinc ereinek vérzett arteriovenosus rendellenessége - cervicalis
I6086;A gerinc ereinek vérzett arteriovenosus rendellenessége - lumbosacralis
I6085;A gerinc ereinek vérzett arteriovenosus rendellenessége - thoracalis
I6781;Nem traumás carotideo cavernosus fistula
S0681;Traumás carotideo - cavernosus fistula
D3561;A glomus caroticum paraganglion jóindulatú daganata
D3562;A glomus jugulare paraganglion jóindulatú daganata
D3563;A glomus tympanicum paraganglion jóindulatú daganata
Q2811;A precerebrális erek arteriovenosus rendellenessége a fej-nyak régióban
Q2812;A precerebrális erek veleszületett vénás angiomája a fej-nyak régióban
D3201;Agyburkok jóindulatú daganata: convexitás meningeoma
D3202;Agyburkok jóindulatú daganata: parasagittális meningeoma
D3203;Agyburkok jóindulatú daganata: frontobasalis meningeoma
D3204;Agyburkok jóindulatú daganata: kisszárny meningeoma
D3205;Agyburkok jóindulatú daganata: paraselláris meningeoma
D3206;Agyburkok jóindulatú daganata: tentorium meningeoma
D3207;Agyburkok jóindulatú daganata: tuberculum sellae meningeoma
D3208;Agyburkok jóindulatú daganata: clivus meningeoma
D3209;Agyburkok jóindulatú daganata: infratentoriális meningeoma
D320A;Agyburkok jóindulatú daganata: opticushüvely vagy intraorbitális meningeoma
D3211;Gerincvelõburok jóindulatú daganata: spinális cervicális meningeoma
D3212;Gerincvelõburok jóindulatú daganata: spinális thoracalis meningeoma
D3213;Gerincvelõburok jóindulatú daganata: spinális lumbális meningeoma
D3214;Gerincvelõburok jóindulatú daganata: spinális sacrális meningeoma
D3215;Gerincvelõburok jóindulatú daganata: craniospinális meningeoma
M8701;Idiopathiás asepticus csontelhalás válltájék
M8702;Idiopathiás asepticus csontelhalás felkar
M8703;Idiopathiás asepticus csontelhalás alkar
M8704;Idiopathiás asepticus csontelhalás kéz
M8705;Idiopathiás asepticus csontelhalás medence és tompor
M8706;Idiopathiás asepticus csontelhalás lábszárcsont
M8707;Idiopathiás asepticus csontelhalás boka és lábfej
M8708;Idiopathiás asepticus csontelhalás egyéb
M8709;Idiopathiás asepticus csontelhalás k.m.n. lokalizáció
M8711;Gyógyszer okozta csontelhalás válltájék
M8712;Gyógyszer okozta csontelhalás felkar
M8713;Gyógyszer okozta csontelhalás alkar
M8714;Gyógyszer okozta csontelhalás kéz
M8715;Gyógyszer okozta csontelhalás medence és tompor
M8716;Gyógyszer okozta csontelhalás lábszárcsont
M8717;Gyógyszer okozta csontelhalás boka és lábfej
M8718;Gyógyszer okozta csontelhalás egyéb
M8719;Gyógyszer okozta csontelhalás k.m.n. lokalizáció
M8721;Posttraumás csontelhalás válltájék
M8722;Posttraumás csontelhalás felkar
M8723;Posttraumás csontelhalás alkar
M8724;Posttraumás csontelhalás kéz
M8725;Posttraumás csontelhalás medence és tompor
M8726;Posttraumás csontelhalás lábszárcsont
M8727;Posttraumás csontelhalás boka és lábfej
M8728;Posttraumás csontelhalás egyéb
M8729;Posttraumás csontelhalás k.m.n. lokalizáció
M8731;Egyéb másodlagos csontelhalás válltájék
M8732;Egyéb másodlagos csontelhalás felkar
M8733;Egyéb másodlagos csontelhalás alkar
M8734;Egyéb másodlagos csontelhalás kéz
M8735;Egyéb másodlagos csontelhalás medence és tompor
M8736;Egyéb másodlagos csontelhalás lábszárcsont
M8737;Egyéb másodlagos csontelhalás boka és lábfej
M8738;Egyéb másodlagos csontelhalás egyéb
M8739;Egyéb másodlagos csontelhalás k.m.n. lokalizáció
M8781;Egyéb csontelhalás válltájék
M8782;Egyéb csontelhalás felkar
M8783;Egyéb csontelhalás alkar
M8784;Egyéb csontelhalás kéz
M8785;Egyéb csontelhalás medence és tompor
M8786;Egyéb csontelhalás lábszárcsont
M8787;Egyéb csontelhalás boka és lábfej
M8788;Egyéb csontelhalás egyéb
M8789;Egyéb csontelhalás k.m.n. lokalizáció
